Day,Time Slot,MPO303 (Lab),MPO304 (Lab),MPO305,MPO306,MPO307,MPO308 (Gaming) (Lab),MPO308 (SHS) (Lab),MPO316 (Lab),MPO317 (Lab),MPO318 (Lab),MPO311,MPO319 (Lab),MPO320 (Lab),MPO321 (Lab),MPO322,MPO323,MPO324,MPO407 (Lab),MPO408
Tuesday,10:30 AM,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied
Tuesday,12:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied
Tuesday,01:30 PM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available
Tuesday,03:00 PM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied
Tuesday,04:30 PM,Available,Occupied,Available,Available,Occupied,Available,Available,Occupied,Available,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Available,Available,Occupied
Tuesday,06:00 PM,Available,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Occupied,Available,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Available,Available
Tuesday,07:30 PM,Available,Occupied,Available,Occupied,Available,Available,Available,Occupied,Available,Occupied,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Available
Wednesday,07:30 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied
Wednesday,09:00 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied
Wednesday,10:30 AM,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied
Wednesday,12:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied
Wednesday,01:30 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Available,Occupied,Occupied
Wednesday,03:00 PM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied
Wednesday,04:30 PM,Available,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Available,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied
Wednesday,06:00 PM,Available,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Available,Available
Wednesday,07:30 PM,Available,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Occupied,Available,Available,Available
Thursday,07:30 AM,Available,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Available,Occupied,Available,Occupied,Available,Occupied,Occupied,Available,Available,Available
Thursday,09:00 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Available,Available,Available
Thursday,10:30 AM,Occupied,Available,Available,Available,Occupied,Available,Occupied,Available,Occupied,Available,Occupied,Occupied,Available,Available,Occupied,Occupied,Available,Available,Occupied
Thursday,12:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Available
Thursday,01:30 PM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied
Thursday,03:00 PM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Available,Occupied
Thursday,04:30 PM,Available,Occupied,Available,Occupied,Occupied,Available,Available,Occupied,Available,Available,Occupied,Occupied,Available,Available,Occupied,Occupied,Occupied,Available,Occupied
Thursday,06:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Available
Thursday,07:30 PM,Occupied,Occupied,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Available,Available,Available
Friday,07:30 AM,Occupied,Occupied,Available,Occupied,Occupied,Available,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Occupied,Occupied,Occupied,Available,Available
Friday,09:00 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Available,Occupied,Occupied,Available,Available,Occupied,Occupied,Available,Available,Available
Friday,10:30 AM,Occupied,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Occupied,Occupied,Available,Available,Occupied
Friday,12:00 PM,Occupied,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Available,Occupied,Available,Available,Available,Occupied,Occupied,Available,Available,Available
Friday,01:30 PM,Occupied,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Occupied,Available,Available,Available,Occupied
Friday,03:00 PM,Occupied,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Available,Available,Occupied,Available,Available,Occupied,Available,Occupied,Available,Occupied
Friday,04:30 PM,Occupied,Occupied,Occupied,Available,Occupied,Available,Available,Available,Available,Available,Occupied,Occupied,Available,Occupied,Available,Occupied,Available,Available,Occupied
Friday,06:00 PM,Available,Occupied,Available,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Available,Occupied
Friday,07:30 PM,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Available,Occupied
Saturday,07:30 AM,Available,Occupied,Occupied,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Available,Available,Available,Available,Occupied,Available,Available,Occupied
Saturday,09:00 AM,Available,Occupied,Occupied,Occupied,Available,Occupied,Available,Available,Available,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Available,Available,Occupied
Saturday,10:30 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Available,Available,Occupied
Saturday,12:00 PM,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Occupied
Saturday,01:30 PM,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Occupied
Saturday,03:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Occupied
Saturday,04:30 PM,Occupied,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Available,Available,Available
Saturday,06:00 PM,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Occupied,Available,Available,Available
Saturday,07:30 PM,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Available,Available,Available,Available
Sunday,07:30 AM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Available,Available,Available,Available
Sunday,09:00 AM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Occupied,Available,Available,Available,Available
Sunday,10:30 AM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,12:00 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,01:30 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,03:00 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,04:30 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,06:00 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
Sunday,07:30 PM,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
